cond,rho,sigma,seed,absorbed,tp_flagged,fp,n_flagged
A,0.05,0.0,0,1,1,0,1
A,0.05,0.0,1,1,1,0,1
A,0.05,0.0,2,0,0,0,0
A,0.05,0.0,3,1,1,0,1
A,0.05,0.0,4,0,0,0,0
A,0.05,0.0,5,1,1,0,1
A,0.05,0.0,6,1,1,0,1
A,0.05,0.0,7,1,0,0,0
A,0.05,0.0,8,0,0,0,0
A,0.05,0.0,9,1,1,0,1
A,0.05,0.0,10,0,0,0,0
A,0.05,0.0,11,1,1,0,1
A,0.05,0.0,12,1,1,0,1
A,0.05,0.0,13,0,0,0,0
A,0.05,0.0,14,1,1,0,1
A,0.05,0.0,15,1,0,0,0
A,0.05,0.1,0,0,1,0,1
A,0.05,0.1,1,0,0,0,0
A,0.05,0.1,2,1,1,0,1
A,0.05,0.1,3,1,1,0,1
A,0.05,0.1,4,0,1,0,1
A,0.05,0.1,5,0,1,0,1
A,0.05,0.1,6,0,1,0,1
A,0.05,0.1,7,0,1,0,1
A,0.05,0.1,8,1,1,0,1
A,0.05,0.1,9,0,1,0,1
A,0.05,0.1,10,1,1,0,1
A,0.05,0.1,11,0,0,0,0
A,0.05,0.1,12,1,1,0,1
A,0.05,0.1,13,1,1,0,1
A,0.05,0.1,14,1,1,0,1
A,0.05,0.1,15,1,1,0,1
A,0.1,0.0,0,1,1,0,1
A,0.1,0.0,1,1,1,0,1
A,0.1,0.0,2,1,1,0,1
A,0.1,0.0,3,1,1,0,1
A,0.1,0.0,4,1,1,0,1
A,0.1,0.0,5,1,1,0,1
A,0.1,0.0,6,0,0,0,0
A,0.1,0.0,7,1,1,0,1
A,0.1,0.0,8,0,0,0,0
A,0.1,0.0,9,1,0,0,0
A,0.1,0.0,10,1,0,0,0
A,0.1,0.0,11,1,1,0,1
A,0.1,0.0,12,1,1,0,1
A,0.1,0.0,13,0,0,0,0
A,0.1,0.0,14,1,1,0,1
A,0.1,0.0,15,1,1,0,1
A,0.1,0.1,0,1,1,0,1
A,0.1,0.1,1,1,1,0,1
A,0.1,0.1,2,0,0,0,0
A,0.1,0.1,3,1,1,0,1
A,0.1,0.1,4,0,1,0,1
A,0.1,0.1,5,1,1,0,1
A,0.1,0.1,6,1,1,0,1
A,0.1,0.1,7,1,1,0,1
A,0.1,0.1,8,1,1,0,1
A,0.1,0.1,9,1,1,0,1
A,0.1,0.1,10,1,1,0,1
A,0.1,0.1,11,1,1,0,1
A,0.1,0.1,12,1,1,0,1
A,0.1,0.1,13,1,1,0,1
A,0.1,0.1,14,1,1,0,1
A,0.1,0.1,15,1,1,0,1
A,0.2,0.0,0,1,1,0,1
A,0.2,0.0,1,1,1,0,1
A,0.2,0.0,2,1,1,0,1
A,0.2,0.0,3,1,1,0,1
A,0.2,0.0,4,0,1,0,1
A,0.2,0.0,5,0,0,0,0
A,0.2,0.0,6,1,1,0,1
A,0.2,0.0,7,1,1,0,1
A,0.2,0.0,8,1,1,0,1
A,0.2,0.0,9,1,0,0,0
A,0.2,0.0,10,1,0,0,0
A,0.2,0.0,11,1,1,0,1
A,0.2,0.0,12,1,1,0,1
A,0.2,0.0,13,1,1,0,1
A,0.2,0.0,14,0,0,0,0
A,0.2,0.0,15,0,0,0,0
A,0.2,0.1,0,1,1,0,1
A,0.2,0.1,1,1,1,0,1
A,0.2,0.1,2,1,1,0,1
A,0.2,0.1,3,1,1,0,1
A,0.2,0.1,4,0,1,0,1
A,0.2,0.1,5,1,1,0,1
A,0.2,0.1,6,1,1,0,1
A,0.2,0.1,7,1,1,0,1
A,0.2,0.1,8,1,1,0,1
A,0.2,0.1,9,1,1,0,1
A,0.2,0.1,10,1,1,0,1
A,0.2,0.1,11,1,1,0,1
A,0.2,0.1,12,1,1,0,1
A,0.2,0.1,13,1,1,0,1
A,0.2,0.1,14,1,1,0,1
A,0.2,0.1,15,1,1,0,1
CD,0.0,0.0,0,0,1,0,1
CD,0.0,0.0,1,0,0,0,0
CD,0.0,0.0,2,0,0,0,0
CD,0.0,0.0,3,0,0,0,0
CD,0.0,0.0,4,0,0,0,0
CD,0.0,0.0,5,0,1,0,1
CD,0.0,0.0,6,0,0,0,0
CD,0.0,0.0,7,0,0,0,0
CD,0.0,0.0,8,0,0,0,0
CD,0.0,0.0,9,0,0,0,0
CD,0.0,0.0,10,0,0,0,0
CD,0.0,0.0,11,0,0,0,0
CD,0.0,0.0,12,0,0,0,0
CD,0.0,0.0,13,0,0,0,0
CD,0.0,0.0,14,0,0,1,1
CD,0.0,0.0,15,0,0,0,0
CD,0.0,0.0,0,0,0,0,0
CD,0.0,0.0,1,0,0,0,0
CD,0.0,0.0,2,0,0,0,0
CD,0.0,0.0,3,0,0,0,0
CD,0.0,0.0,4,0,0,0,0
CD,0.0,0.0,5,0,0,0,0
CD,0.0,0.0,6,0,0,0,0
CD,0.0,0.0,7,0,0,0,0
CD,0.0,0.0,8,0,0,0,0
CD,0.0,0.0,9,0,0,0,0
CD,0.0,0.0,10,0,0,0,0
CD,0.0,0.0,11,0,0,0,0
CD,0.0,0.0,12,0,0,0,0
CD,0.0,0.0,13,0,0,0,0
CD,0.0,0.0,14,0,0,0,0
CD,0.0,0.0,15,0,0,0,0
CDX,0.0,0.0,0,0,0,0,0
CDX,0.0,0.0,1,0,1,0,1
CDX,0.0,0.0,2,0,1,0,1
CDX,0.0,0.0,3,0,0,0,0
CDX,0.0,0.0,4,0,0,0,0
CDX,0.0,0.0,5,0,0,2,2
CDX,0.0,0.0,6,0,0,0,0
CDX,0.0,0.0,7,0,0,0,0
CDX,0.0,0.0,8,0,0,0,0
CDX,0.0,0.0,9,0,0,0,0
CDX,0.0,0.0,10,0,1,0,1
CDX,0.0,0.0,11,0,1,0,1
CDX,0.0,0.0,12,0,1,0,1
CDX,0.0,0.0,13,0,0,1,1
CDX,0.0,0.0,14,0,0,0,0
CDX,0.0,0.0,15,0,1,0,1
F,0.1,0.0,0,0,0,0,0
F,0.1,0.0,1,0,0,0,0
F,0.1,0.0,2,0,0,0,0
F,0.1,0.0,3,0,0,0,0
F,0.1,0.0,4,0,0,0,0
F,0.1,0.0,5,0,0,0,0
F,0.1,0.0,6,0,0,0,0
F,0.1,0.0,7,0,0,0,0
F,0.1,0.0,8,0,0,0,0
F,0.1,0.0,9,0,0,0,0
F,0.1,0.0,10,0,0,0,0
F,0.1,0.0,11,0,0,0,0
F,0.1,0.0,12,0,0,0,0
F,0.1,0.0,13,0,0,0,0
F,0.1,0.0,14,0,0,0,0
F,0.1,0.0,15,0,0,0,0
N,0.0,0.0,0,0,0,0,0
N,0.0,0.0,1,0,0,0,0
N,0.0,0.0,2,0,0,0,0
N,0.0,0.0,3,0,0,0,0
N,0.0,0.0,4,0,0,2,2
N,0.0,0.0,5,0,0,0,0
N,0.0,0.0,6,0,0,0,0
N,0.0,0.0,7,0,0,0,0
N,0.0,0.0,8,0,0,0,0
N,0.0,0.0,9,0,0,0,0
N,0.0,0.0,10,0,0,0,0
N,0.0,0.0,11,0,0,2,2
N,0.0,0.0,12,0,0,0,0
N,0.0,0.0,13,0,0,0,0
N,0.0,0.0,14,0,1,0,1
N,0.0,0.0,15,0,0,0,0
