n,d,k,seed,mu,kstar_worstcase,mmcs,frac_recovered,loss
128,64,2,0,0.4735625386238098,1.5558267582841718,0.7882778644561768,0.1875,0.7889323234558105
128,64,2,1,0.4496673345565796,1.6119331149394114,0.8099642395973206,0.2578125,0.6999545097351074
128,64,4,0,0.4735625386238098,1.5558267582841718,0.8199940919876099,0.2265625,1.3543319702148438
128,64,4,1,0.4496673345565796,1.6119331149394114,0.8392398357391357,0.2890625,1.2112557888031006
128,64,8,0,0.4735625386238098,1.5558267582841718,0.8660734295845032,0.5,1.8883445262908936
128,64,8,1,0.4496673345565796,1.6119331149394114,0.8514506816864014,0.4765625,1.9437220096588135
128,64,16,0,0.4735625386238098,1.5558267582841718,0.7384008169174194,0.234375,2.7416601181030273
128,64,16,1,0.4496673345565796,1.6119331149394114,0.6891745328903198,0.1484375,2.9995365142822266
128,64,24,0,0.4735625386238098,1.5558267582841718,0.5725175738334656,0.015625,2.4120287895202637
128,64,24,1,0.4496673345565796,1.6119331149394114,0.5842870473861694,0.015625,2.7436153888702393
128,64,32,0,0.4735625386238098,1.5558267582841718,0.5182833075523376,0.0,1.89955735206604
128,64,32,1,0.4496673345565796,1.6119331149394114,0.5458634495735168,0.0,2.3801441192626953
256,64,2,0,0.4987618923187256,1.5024823622260284,0.7527216672897339,0.08203125,0.909194827079773
256,64,2,1,0.4910199046134949,1.5182886585699082,0.7307912707328796,0.07421875,0.9798902869224548
256,64,4,0,0.4987618923187256,1.5024823622260284,0.802960991859436,0.16015625,1.5071709156036377
256,64,4,1,0.4910199046134949,1.5182886585699082,0.7853442430496216,0.1484375,1.5871789455413818
256,64,8,0,0.4987618923187256,1.5024823622260284,0.8329602479934692,0.49609375,2.4132018089294434
256,64,8,1,0.4910199046134949,1.5182886585699082,0.8308322429656982,0.46875,2.467426300048828
256,64,16,0,0.4987618923187256,1.5024823622260284,0.6092169284820557,0.02734375,3.699610710144043
256,64,16,1,0.4910199046134949,1.5182886585699082,0.5845586657524109,0.01953125,3.745962142944336
256,64,24,0,0.4987618923187256,1.5024823622260284,0.46187520027160645,0.0,3.037247657775879
256,64,24,1,0.4910199046134949,1.5182886585699082,0.46183866262435913,0.0,3.1373908519744873
256,64,32,0,0.4987618923187256,1.5024823622260284,0.4180833101272583,0.0,2.0266780853271484
256,64,32,1,0.4910199046134949,1.5182886585699082,0.4176040291786194,0.0,2.1820712089538574
