cond,seed,letter,cov_gap,align,n_split
vanilla,0,t,0.658,0.69,8
vanilla,0,a,0.793,0.582,9
vanilla,0,h,0.761,0.69,8
vanilla,0,s,0.894,0.403,2
vanilla,0,i,0.75,0.567,3
vanilla,0,w,0.753,0.533,7
vanilla,0,o,0.712,0.582,8
vanilla,0,b,0.837,0.433,5
vanilla,1,t,0.666,0.691,7
vanilla,1,a,0.766,0.602,8
vanilla,1,h,0.723,0.692,10
vanilla,1,s,0.891,0.419,2
vanilla,1,i,0.751,0.573,3
vanilla,1,w,0.751,0.541,7
vanilla,1,o,0.751,0.592,9
vanilla,1,b,0.834,0.449,6
residual,0,t,0.65,0.69,6
residual,0,a,0.75,0.604,5
residual,0,h,0.486,0.667,9
residual,0,s,0.896,0.404,3
residual,0,i,0.751,0.567,3
residual,0,w,0.751,0.54,6
residual,0,o,0.741,0.573,9
residual,0,b,0.833,0.447,3
residual,1,t,0.638,0.706,6
residual,1,a,0.757,0.602,7
residual,1,h,0.725,0.625,9
residual,1,s,0.719,0.406,2
residual,1,i,0.753,0.57,3
residual,1,w,0.748,0.537,6
residual,1,o,0.736,0.588,8
residual,1,b,0.829,0.441,4
